,phi_1,phi_2,phi_3,phi_4
189,0.03553485317045864,0.6180680050089239,0.9579001860227284,1.1921259105723485
190,0.03623999408535853,0.6273851077369031,0.9671226342183409,1.1988329270550244
191,0.036968703751473354,0.636883620729621,0.9764014622052072,1.2055303383365745
192,0.0377222125630751,0.6465675056042945,0.9857359364379777,1.2122178225780766
193,0.038501837736122285,0.6564407525718037,0.9951252772792454,1.2188950597045818
194,0.03930899110189688,0.6665073734303117,1.004568658633372,1.2255617315324527
195,0.04014518775486595,0.6767713937347964,1.0140652076514327,1.2322175218947358
196,0.041012055665951515,0.6872368440854325,1.0236140045108695,1.2388621167644542
197,0.041911346389231836,0.6979077504769193,1.0332140822733298,1.245495204375726
198,0.04284494700985845,0.7087881236505283,1.0428644268240161,1.252116475342602
199,0.04381489350423091,0.7198819473909943,1.0525639768957047,1.2587256227755348
200,0.044823385710925576,0.7311931657114908,1.0623116241803927,1.2653223423953825
201,0.04587280414338325,0.7427256688719643,1.0721062135313153,1.2719063326448652
202,0.046965728913978516,0.7544832781791958,1.081946543257829,1.2784772947973873
203,0.04810496108512183,0.7664697295212632,1.0918313655153877,1.2850349330631508
204,0.04929354681809695,0.778688655594772,1.101759386792545,1.2915789546924827
205,0.0505348047564184,0.791143566790448,1.1117292684966045,1.2981090700763098
206,0.051832357160114306,0.8038378307116536,1.121739627639193,1.304624992843713
207,0.053190165403650465,0.8167746503112315,1.1317890376226916,1.3111264399565021
208,0.05461257056718477,0.8299570406449889,1.141876029128059,1.3176131318007571
209,0.056104339993518756,0.8433878042552443,1.1519990911042135,1.3240847922752799
210,0.05767072085791692,0.8570695052153041,1.1621566718587113,1.3305411488769148
211,0.05931750201312756,0.8710044418856144,1.1723471802490528,1.336981932782694
212,0.06105108563807101,0.8851946184546996,1.1825689869735037,1.34340687892877
213,0.06287857054951602,0.8996417153628691,1.1928204259598933,1.349815726086105
214,0.06480784944958941,0.9143470587339831,1.203099795850397,1.3562082169328844
215,0.06684772290171714,0.9293115889701791,1.213405361579872,1.3625840981236397
216,0.06900803348473072,0.9445358286961633,1.223735356044867,1.3689431203550524
217,0.07129982441087088,0.9600198502731351,1.2340879818599917,1.3752850384284323
218,0.07373552796393548,0.9757632431371828,1.2444614131978968,1.381609611308856
219,0.07632919049411999,0.9917650812525376,1.254853797708698,1.387916602180965
220,0.07909674249883339,1.0080238910056585,1.2652632585142674,1.3942057785014148
221,0.08205632466518455,1.0245376199009795,1.2756878962724327,1.400476912047988
222,0.08522868384607342,1.0413036064522547,1.2861257913057562,1.4067297789653723
223,0.08863765706305096,1.0583185516937832,1.2965750057892163,1.412964159807616
